month,level_1,value
1985-01,Total,30.7
1985-01,Total (Excluding Motor Vehicles),50.4
1985-02,Total,31.6
1985-02,Total (Excluding Motor Vehicles),50
1985-03,Total,30.8
1985-03,Total (Excluding Motor Vehicles),46.7
1985-04,Total,24.5
1985-04,Total (Excluding Motor Vehicles),41.6
1985-05,Total,25.4
1985-05,Total (Excluding Motor Vehicles),42.6
1985-06,Total,23.7
1985-06,Total (Excluding Motor Vehicles),41.1
1985-07,Total,23.8
1985-07,Total (Excluding Motor Vehicles),40.4
1985-08,Total,24.1
1985-08,Total (Excluding Motor Vehicles),41.1
1985-09,Total,24.4
1985-09,Total (Excluding Motor Vehicles),41.4
1985-10,Total,23.6
1985-10,Total (Excluding Motor Vehicles),39.9
1985-11,Total,24.4
1985-11,Total (Excluding Motor Vehicles),41.9
1985-12,Total,24
1985-12,Total (Excluding Motor Vehicles),41.9
1986-01,Total,24
1986-01,Total (Excluding Motor Vehicles),43
1986-02,Total,25.5
1986-02,Total (Excluding Motor Vehicles),40.3
1986-03,Total,22.8
1986-03,Total (Excluding Motor Vehicles),38.3
1986-04,Total,22.2
1986-04,Total (Excluding Motor Vehicles),39.1
1986-05,Total,22.2
1986-05,Total (Excluding Motor Vehicles),39.7
1986-06,Total,22.3
1986-06,Total (Excluding Motor Vehicles),38.5
1986-07,Total,23.1
1986-07,Total (Excluding Motor Vehicles),39.9
1986-08,Total,22.7
1986-08,Total (Excluding Motor Vehicles),39
1986-09,Total,22.6
1986-09,Total (Excluding Motor Vehicles),38.6
1986-10,Total,22.7
1986-10,Total (Excluding Motor Vehicles),38.8
1986-11,Total,22.9
1986-11,Total (Excluding Motor Vehicles),38.9
1986-12,Total,23.6
1986-12,Total (Excluding Motor Vehicles),40.3
1987-01,Total,23.9
1987-01,Total (Excluding Motor Vehicles),41.7
1987-02,Total,25
1987-02,Total (Excluding Motor Vehicles),43.3
1987-03,Total,26.4
1987-03,Total (Excluding Motor Vehicles),44.1
1987-04,Total,27.8
1987-04,Total (Excluding Motor Vehicles),45.6
1987-05,Total,28.2
1987-05,Total (Excluding Motor Vehicles),46.2
1987-06,Total,29.8
1987-06,Total (Excluding Motor Vehicles),48.3
1987-07,Total,29.8
1987-07,Total (Excluding Motor Vehicles),47
1987-08,Total,29.7
1987-08,Total (Excluding Motor Vehicles),47.1
1987-09,Total,30.2
1987-09,Total (Excluding Motor Vehicles),47.7
1987-10,Total,30.2
1987-10,Total (Excluding Motor Vehicles),48.6
1987-11,Total,32
1987-11,Total (Excluding Motor Vehicles),48.4
1987-12,Total,29.7
1987-12,Total (Excluding Motor Vehicles),47.9
1988-01,Total,31.9
1988-01,Total (Excluding Motor Vehicles),48.2
1988-02,Total,31.7
1988-02,Total (Excluding Motor Vehicles),48.9
1988-03,Total,32.1
1988-03,Total (Excluding Motor Vehicles),49.9
1988-04,Total,33
1988-04,Total (Excluding Motor Vehicles),49.8
1988-05,Total,34.6
1988-05,Total (Excluding Motor Vehicles),49.7
1988-06,Total,34.7
1988-06,Total (Excluding Motor Vehicles),50.4
1988-07,Total,35.3
1988-07,Total (Excluding Motor Vehicles),51.3
1988-08,Total,36.8
1988-08,Total (Excluding Motor Vehicles),51.2
1988-09,Total,37.7
1988-09,Total (Excluding Motor Vehicles),51.9
1988-10,Total,39.9
1988-10,Total (Excluding Motor Vehicles),52.3
1988-11,Total,38.1
1988-11,Total (Excluding Motor Vehicles),51.9
1988-12,Total,41.7
1988-12,Total (Excluding Motor Vehicles),52.1
1989-01,Total,37.3
1989-01,Total (Excluding Motor Vehicles),52.4
1989-02,Total,43.1
1989-02,Total (Excluding Motor Vehicles),52.9
1989-03,Total,41.6
1989-03,Total (Excluding Motor Vehicles),53.2
1989-04,Total,38.2
1989-04,Total (Excluding Motor Vehicles),53
1989-05,Total,37.9
1989-05,Total (Excluding Motor Vehicles),52.7
1989-06,Total,37.1
1989-06,Total (Excluding Motor Vehicles),52.9
1989-07,Total,37.9
1989-07,Total (Excluding Motor Vehicles),54.1
1989-08,Total,39.4
1989-08,Total (Excluding Motor Vehicles),55.6
1989-09,Total,41.4
1989-09,Total (Excluding Motor Vehicles),56
1989-10,Total,39.2
1989-10,Total (Excluding Motor Vehicles),55.6
1989-11,Total,41.9
1989-11,Total (Excluding Motor Vehicles),57.2
1989-12,Total,41.2
1989-12,Total (Excluding Motor Vehicles),56.1
1990-01,Total,42.9
1990-01,Total (Excluding Motor Vehicles),55.4
1990-02,Total,42.8
1990-02,Total (Excluding Motor Vehicles),55.4
1990-03,Total,43.4
1990-03,Total (Excluding Motor Vehicles),56.6
1990-04,Total,47.4
1990-04,Total (Excluding Motor Vehicles),57.5
1990-05,Total,36.2
1990-05,Total (Excluding Motor Vehicles),57.2
1990-06,Total,39
1990-06,Total (Excluding Motor Vehicles),59
1990-07,Total,38.7
1990-07,Total (Excluding Motor Vehicles),61.4
1990-08,Total,38.4
1990-08,Total (Excluding Motor Vehicles),57.7
1990-09,Total,36.9
1990-09,Total (Excluding Motor Vehicles),54.8
1990-10,Total,40
1990-10,Total (Excluding Motor Vehicles),55.8
1990-11,Total,37.7
1990-11,Total (Excluding Motor Vehicles),56.3
1990-12,Total,41.6
1990-12,Total (Excluding Motor Vehicles),57.1
1991-01,Total,36.5
1991-01,Total (Excluding Motor Vehicles),56.8
1991-02,Total,40
1991-02,Total (Excluding Motor Vehicles),53.8
1991-03,Total,40.5
1991-03,Total (Excluding Motor Vehicles),55.2
1991-04,Total,40.7
1991-04,Total (Excluding Motor Vehicles),55.4
1991-05,Total,41.4
1991-05,Total (Excluding Motor Vehicles),57.2
1991-06,Total,40.1
1991-06,Total (Excluding Motor Vehicles),56.6
1991-07,Total,41.3
1991-07,Total (Excluding Motor Vehicles),56.5
1991-08,Total,42.6
1991-08,Total (Excluding Motor Vehicles),56.8
1991-09,Total,41.2
1991-09,Total (Excluding Motor Vehicles),56.1
1991-10,Total,45.9
1991-10,Total (Excluding Motor Vehicles),58.7
1991-11,Total,46
1991-11,Total (Excluding Motor Vehicles),57.5
1991-12,Total,39.3
1991-12,Total (Excluding Motor Vehicles),55.4
1992-01,Total,42.9
1992-01,Total (Excluding Motor Vehicles),57.7
1992-02,Total,44.2
1992-02,Total (Excluding Motor Vehicles),60.2
1992-03,Total,43.2
1992-03,Total (Excluding Motor Vehicles),58.1
1992-04,Total,45.5
1992-04,Total (Excluding Motor Vehicles),59.2
1992-05,Total,46.2
1992-05,Total (Excluding Motor Vehicles),58.2
1992-06,Total,50.3
1992-06,Total (Excluding Motor Vehicles),58.1
1992-07,Total,44.3
1992-07,Total (Excluding Motor Vehicles),59
1992-08,Total,45.7
1992-08,Total (Excluding Motor Vehicles),60.6
1992-09,Total,48.4
1992-09,Total (Excluding Motor Vehicles),60.5
1992-10,Total,43.9
1992-10,Total (Excluding Motor Vehicles),59.6
1992-11,Total,44
1992-11,Total (Excluding Motor Vehicles),59.4
1992-12,Total,43.8
1992-12,Total (Excluding Motor Vehicles),59.7
1993-01,Total,48.5
1993-01,Total (Excluding Motor Vehicles),60
1993-02,Total,45.9
1993-02,Total (Excluding Motor Vehicles),58.6
1993-03,Total,48.1
1993-03,Total (Excluding Motor Vehicles),60.1
1993-04,Total,46.1
1993-04,Total (Excluding Motor Vehicles),58.2
1993-05,Total,47.9
1993-05,Total (Excluding Motor Vehicles),59
1993-06,Total,49.9
1993-06,Total (Excluding Motor Vehicles),59.7
1993-07,Total,49.1
1993-07,Total (Excluding Motor Vehicles),59.3
1993-08,Total,47
1993-08,Total (Excluding Motor Vehicles),59.4
1993-09,Total,46.7
1993-09,Total (Excluding Motor Vehicles),60.5
1993-10,Total,45.9
1993-10,Total (Excluding Motor Vehicles),61.3
1993-11,Total,46.2
1993-11,Total (Excluding Motor Vehicles),60.1
1993-12,Total,48.4
1993-12,Total (Excluding Motor Vehicles),62
1994-01,Total,47.3
1994-01,Total (Excluding Motor Vehicles),62.1
1994-02,Total,48.4
1994-02,Total (Excluding Motor Vehicles),62.9
1994-03,Total,60.5
1994-03,Total (Excluding Motor Vehicles),73.9
1994-04,Total,40.9
1994-04,Total (Excluding Motor Vehicles),54.1
1994-05,Total,43.8
1994-05,Total (Excluding Motor Vehicles),55.7
1994-06,Total,43.2
1994-06,Total (Excluding Motor Vehicles),56.1
1994-07,Total,47
1994-07,Total (Excluding Motor Vehicles),59.7
1994-08,Total,44.8
1994-08,Total (Excluding Motor Vehicles),58.3
1994-09,Total,45.8
1994-09,Total (Excluding Motor Vehicles),60.6
1994-10,Total,45.4
1994-10,Total (Excluding Motor Vehicles),60.9
1994-11,Total,47
1994-11,Total (Excluding Motor Vehicles),60.9
1994-12,Total,46.3
1994-12,Total (Excluding Motor Vehicles),61.5
1995-01,Total,46.2
1995-01,Total (Excluding Motor Vehicles),61.1
1995-02,Total,46.4
1995-02,Total (Excluding Motor Vehicles),58.8
1995-03,Total,48.4
1995-03,Total (Excluding Motor Vehicles),61.7
1995-04,Total,47.4
1995-04,Total (Excluding Motor Vehicles),60.9
1995-05,Total,48.3
1995-05,Total (Excluding Motor Vehicles),63.3
1995-06,Total,46.9
1995-06,Total (Excluding Motor Vehicles),61.7
1995-07,Total,46.7
1995-07,Total (Excluding Motor Vehicles),63
1995-08,Total,48.8
1995-08,Total (Excluding Motor Vehicles),62.8
1995-09,Total,49.2
1995-09,Total (Excluding Motor Vehicles),63.6
1995-10,Total,49
1995-10,Total (Excluding Motor Vehicles),63.5
1995-11,Total,49.2
1995-11,Total (Excluding Motor Vehicles),64.2
1995-12,Total,48.4
1995-12,Total (Excluding Motor Vehicles),64.2
1996-01,Total,48.1
1996-01,Total (Excluding Motor Vehicles),65.2
1996-02,Total,50.7
1996-02,Total (Excluding Motor Vehicles),66.4
1996-03,Total,49
1996-03,Total (Excluding Motor Vehicles),65
1996-04,Total,48.7
1996-04,Total (Excluding Motor Vehicles),65.5
1996-05,Total,48.7
1996-05,Total (Excluding Motor Vehicles),64.8
1996-06,Total,48.3
1996-06,Total (Excluding Motor Vehicles),66
1996-07,Total,48
1996-07,Total (Excluding Motor Vehicles),65.8
1996-08,Total,47.8
1996-08,Total (Excluding Motor Vehicles),65.8
1996-09,Total,48.6
1996-09,Total (Excluding Motor Vehicles),67.4
1996-10,Total,50.3
1996-10,Total (Excluding Motor Vehicles),67.4
1996-11,Total,50.5
1996-11,Total (Excluding Motor Vehicles),69.6
1996-12,Total,54.2
1996-12,Total (Excluding Motor Vehicles),68.9
1997-01,Total,51.6
1997-01,Total (Excluding Motor Vehicles),70.8
1997-02,Total,47.1
1997-02,Total (Excluding Motor Vehicles),68.7
1997-03,Total,48.5
1997-03,Total (Excluding Motor Vehicles),68.6
1997-04,Total,49.6
1997-04,Total (Excluding Motor Vehicles),69.5
1997-05,Total,49.5
1997-05,Total (Excluding Motor Vehicles),67.6
1997-06,Total,50
1997-06,Total (Excluding Motor Vehicles),70.5
1997-07,Total,52.6
1997-07,Total (Excluding Motor Vehicles),73
1997-08,Total,49.8
1997-08,Total (Excluding Motor Vehicles),69.7
1997-09,Total,50.6
1997-09,Total (Excluding Motor Vehicles),67.7
1997-10,Total,48.7
1997-10,Total (Excluding Motor Vehicles),67.5
1997-11,Total,46.8
1997-11,Total (Excluding Motor Vehicles),68
1997-12,Total,46.6
1997-12,Total (Excluding Motor Vehicles),65.2
1998-01,Total,47
1998-01,Total (Excluding Motor Vehicles),64.1
1998-02,Total,47.9
1998-02,Total (Excluding Motor Vehicles),62.7
1998-03,Total,39
1998-03,Total (Excluding Motor Vehicles),63.9
1998-04,Total,52.6
1998-04,Total (Excluding Motor Vehicles),65.8
1998-05,Total,46.8
1998-05,Total (Excluding Motor Vehicles),63.2
1998-06,Total,46
1998-06,Total (Excluding Motor Vehicles),63.2
1998-07,Total,46.8
1998-07,Total (Excluding Motor Vehicles),60.8
1998-08,Total,45.2
1998-08,Total (Excluding Motor Vehicles),61.9
1998-09,Total,43.2
1998-09,Total (Excluding Motor Vehicles),61.2
1998-10,Total,44.7
1998-10,Total (Excluding Motor Vehicles),62.8
1998-11,Total,46.6
1998-11,Total (Excluding Motor Vehicles),61.5
1998-12,Total,50.5
1998-12,Total (Excluding Motor Vehicles),63.4
1999-01,Total,46.7
1999-01,Total (Excluding Motor Vehicles),64.7
1999-02,Total,47.7
1999-02,Total (Excluding Motor Vehicles),65.8
1999-03,Total,49.4
1999-03,Total (Excluding Motor Vehicles),65.5
1999-04,Total,50.9
1999-04,Total (Excluding Motor Vehicles),66.1
1999-05,Total,52.1
1999-05,Total (Excluding Motor Vehicles),67.9
1999-06,Total,55.2
1999-06,Total (Excluding Motor Vehicles),67.8
1999-07,Total,52.7
1999-07,Total (Excluding Motor Vehicles),68.7
1999-08,Total,58.1
1999-08,Total (Excluding Motor Vehicles),69.5
1999-09,Total,59.7
1999-09,Total (Excluding Motor Vehicles),69.6
1999-10,Total,59.4
1999-10,Total (Excluding Motor Vehicles),69.6
1999-11,Total,57.9
1999-11,Total (Excluding Motor Vehicles),69.1
1999-12,Total,58.2
1999-12,Total (Excluding Motor Vehicles),69.3
2000-01,Total,61.7
2000-01,Total (Excluding Motor Vehicles),70.9
2000-02,Total,60.6
2000-02,Total (Excluding Motor Vehicles),72.4
2000-03,Total,60.8
2000-03,Total (Excluding Motor Vehicles),71.8
2000-04,Total,65.3
2000-04,Total (Excluding Motor Vehicles),73.3
2000-05,Total,66.7
2000-05,Total (Excluding Motor Vehicles),72.4
2000-06,Total,70.4
2000-06,Total (Excluding Motor Vehicles),71.1
2000-07,Total,69.8
2000-07,Total (Excluding Motor Vehicles),73.7
2000-08,Total,68.8
2000-08,Total (Excluding Motor Vehicles),72.2
2000-09,Total,72.1
2000-09,Total (Excluding Motor Vehicles),74.2
2000-10,Total,66.6
2000-10,Total (Excluding Motor Vehicles),72.6
2000-11,Total,73.1
2000-11,Total (Excluding Motor Vehicles),73.2
2000-12,Total,72.5
2000-12,Total (Excluding Motor Vehicles),73.5
2001-01,Total,73.9
2001-01,Total (Excluding Motor Vehicles),72.7
2001-02,Total,75.3
2001-02,Total (Excluding Motor Vehicles),72
2001-03,Total,76.8
2001-03,Total (Excluding Motor Vehicles),72.4
2001-04,Total,73.5
2001-04,Total (Excluding Motor Vehicles),71.8
2001-05,Total,75.1
2001-05,Total (Excluding Motor Vehicles),71.6
2001-06,Total,72
2001-06,Total (Excluding Motor Vehicles),73.1
2001-07,Total,69.1
2001-07,Total (Excluding Motor Vehicles),71.6
2001-08,Total,77.6
2001-08,Total (Excluding Motor Vehicles),74.9
2001-09,Total,69.2
2001-09,Total (Excluding Motor Vehicles),71.5
2001-10,Total,69.9
2001-10,Total (Excluding Motor Vehicles),70.6
2001-11,Total,72.4
2001-11,Total (Excluding Motor Vehicles),73.1
2001-12,Total,72.1
2001-12,Total (Excluding Motor Vehicles),72.8
2002-01,Total,71.6
2002-01,Total (Excluding Motor Vehicles),73.5
2002-02,Total,70.2
2002-02,Total (Excluding Motor Vehicles),71.7
2002-03,Total,76.6
2002-03,Total (Excluding Motor Vehicles),73.2
2002-04,Total,71.8
2002-04,Total (Excluding Motor Vehicles),73.8
2002-05,Total,67.9
2002-05,Total (Excluding Motor Vehicles),74.6
2002-06,Total,68.7
2002-06,Total (Excluding Motor Vehicles),72.6
2002-07,Total,73.1
